State,City,Scale_of_Operation,Monthly_Production_Tons,Machine_Utilization_Pct,Skilled_Labor_Pct,Transport_Cost_Rs_per_Ton,Quality_Rejection_Rate_Pct,Avg_Selling_Price_Rs_sqm,Net_Profit_Margin_Pct,Profitability_Class
Tamil Nadu,Dharmapuri,Small,1857.1,92.15,78.24,1984.6,10.22,2658.2,15.321,Medium
Rajasthan,Jodhpur,Large,5021.44,91.96,73.5,1946.94,3.96,2517.68,22.463,High
Andhra Pradesh,Kurnool,Large,4574.24,74.23,59.62,1646.55,6.25,2030.96,16.998,High
Karnataka,Hassan,Small,1195.31,67.9,57.6,1216.22,9.71,2240.22,15.386,Medium
Karnataka,Chitradurga,Small,1599.7,68.51,43.31,2311.07,10.35,2276.22,8.228,Medium
Karnataka,Mysuru,Large,5249.21,85.15,78.38,2644.86,6.43,2069.21,26.355,High
Tamil Nadu,Dharmapuri,Large,5353.29,62.89,56.91,844.46,2.11,2269.1,23.046,High
Rajasthan,Jodhpur,Medium,2488.19,78.13,36.95,2882.81,7.32,1578.84,9.379,Medium
Gujarat,Ahmedabad,Large,4147.35,73.95,59.4,1299.13,1.22,1954.13,17.585,High
Rajasthan,Kishangarh,Medium,2257.97,68.87,50.28,2819.24,9.74,2468.92,9.02,Medium
Rajasthan,Udaipur,Small,1649.75,65.64,20.0,2979.64,11.4,2087.78,3.248,Low
Andhra Pradesh,Guntur,Medium,2656.19,88.51,56.49,2217.0,8.72,1839.13,10.864,Medium
Rajasthan,Jodhpur,Medium,3236.7,69.45,35.3,2556.81,5.92,1979.31,12.297,Medium
Andhra Pradesh,Guntur,Large,4531.11,68.37,63.3,1068.98,3.61,1946.81,19.459,High
Karnataka,Hassan,Small,1690.81,63.51,34.23,1459.96,9.43,2304.94,8.739,Medium
Tamil Nadu,Dharmapuri,Medium,3139.23,61.44,62.46,1123.48,0.5,2623.85,18.366,High
Rajasthan,Makrana,Medium,2753.51,89.7,58.65,1770.43,3.42,2219.64,17.229,High
Tamil Nadu,Dharmapuri,Small,1753.75,57.74,24.63,1689.62,5.17,2080.73,5.602,Low
Andhra Pradesh,Kadapa,Small,1416.22,66.9,68.85,2257.37,5.17,2035.75,9.168,Medium
Rajasthan,Kishangarh,Large,5118.19,73.14,73.3,1758.21,8.07,1920.16,19.101,High
Rajasthan,Udaipur,Medium,2627.62,97.43,45.49,2077.81,4.94,1871.98,19.696,High
Rajasthan,Jodhpur,Medium,2864.47,82.72,46.29,1807.09,2.78,2401.65,14.016,Medium
Tamil Nadu,Dharmapuri,Large,4682.55,77.42,61.84,2152.07,6.01,1992.14,20.43,High
Gujarat,Bhavnagar,Small,1548.77,72.19,25.98,1654.21,5.53,1192.87,1.5,Low
Rajasthan,Jodhpur,Large,4865.06,67.89,79.84,2544.21,2.81,2632.17,21.474,High
Andhra Pradesh,Nellore,Medium,3375.44,83.16,71.12,2614.46,6.55,2236.7,15.124,Medium
Andhra Pradesh,Kurnool,Medium,2765.19,69.08,54.42,1896.15,9.06,2114.42,12.653,Medium
Andhra Pradesh,Ongole,Medium,2294.97,78.94,58.06,1478.73,5.47,1898.54,13.267,Medium
Karnataka,Mysuru,Large,4751.79,66.96,53.55,2173.65,0.5,2399.3,19.591,High
Karnataka,Bengaluru,Small,1938.55,56.65,56.23,2209.75,8.17,2370.73,10.595,Medium
Rajasthan,Udaipur,Small,2045.31,54.84,58.93,2719.15,12.27,2018.84,6.488,Low
Gujarat,Bhavnagar,Small,1869.44,53.94,63.73,1851.84,,1695.37,4.771,Low
Tamil Nadu,Madurai,Small,1303.32,70.86,53.38,,6.61,2108.54,12.829,Medium
Telangana,Hyderabad,Medium,2647.55,98.0,43.23,1554.9,5.4,1495.83,10.746,Medium
Rajasthan,Makrana,Large,5412.95,71.91,58.14,2165.14,4.87,2174.59,19.748,High
Telangana,Warangal,Large,3877.89,72.72,70.04,2426.04,6.53,1849.97,17.18,High
Tamil Nadu,Madurai,Small,2023.93,70.85,43.13,1324.22,3.46,2360.81,12.133,Medium
Tamil Nadu,Salem,Medium,2909.89,66.62,74.83,1710.89,5.4,2775.96,19.009,High
Rajasthan,Makrana,Medium,2866.26,53.9,64.27,2054.65,7.52,1977.43,14.377,Medium
Rajasthan,Udaipur,Small,1646.14,65.85,28.64,1540.7,8.69,1821.22,7.01,Low
Rajasthan,Kishangarh,Large,5337.14,78.2,64.29,2129.75,4.63,2146.99,23.013,High
Tamil Nadu,Madurai,Large,6031.47,98.0,68.89,1581.55,9.76,2442.25,25.938,High
Rajasthan,Makrana,Large,4801.9,77.36,85.47,2687.43,6.01,2229.04,18.625,High
Gujarat,Vadodara,Small,1071.01,78.82,52.39,1714.19,10.23,1422.86,4.414,Low
Tamil Nadu,Salem,Medium,2804.34,58.9,67.53,1687.42,7.02,2555.2,17.44,High
Rajasthan,Kishangarh,Small,1687.36,76.35,47.36,2005.49,8.24,2016.98,6.959,Low
Rajasthan,Udaipur,Small,2020.56,66.86,65.98,1572.39,5.7,2234.68,11.534,High
Rajasthan,Makrana,Medium,3222.34,64.07,79.47,2619.95,0.5,2441.28,18.125,High
Gujarat,Surat,Large,3740.38,65.33,57.01,2311.47,4.44,2089.69,11.164,Medium
Andhra Pradesh,Guntur,Large,4815.66,75.78,64.17,2111.26,3.61,2352.94,15.665,Medium
Rajasthan,Jodhpur,Large,4636.38,68.84,60.08,1984.81,7.56,1886.89,16.668,High
Rajasthan,Jaipur,Large,4839.44,81.38,84.18,2352.48,6.66,2739.05,24.1,High
Telangana,Hyderabad,Small,1420.24,59.41,45.41,1666.27,4.35,1633.16,4.604,Low
Tamil Nadu,Chennai,Medium,3372.1,78.86,31.21,1351.48,5.29,2107.9,14.11,Medium
Rajasthan,Kishangarh,Small,1577.51,71.07,58.0,,6.05,1990.78,9.977,Medium
Gujarat,Bhavnagar,Small,1606.13,60.94,38.17,2129.41,5.25,1471.45,7.002,Low
Rajasthan,Jaipur,Medium,2562.37,63.8,54.26,1785.06,5.8,1940.84,10.864,Medium
Rajasthan,Udaipur,Medium,2851.42,61.11,55.4,2331.41,7.01,2175.61,9.999,Medium
Telangana,Nizamabad,Medium,2108.11,70.88,27.16,1914.41,4.22,1730.66,8.26,Medium
Gujarat,Ahmedabad,Small,796.62,68.92,34.03,881.97,12.29,1508.13,5.347,Low
Gujarat,Vadodara,Small,1192.8,86.45,59.75,2165.71,7.15,1580.56,6.567,Low
Andhra Pradesh,Ongole,Small,1302.11,49.63,49.48,1269.31,,1877.68,9.397,Medium
Telangana,Hyderabad,Small,1204.83,90.57,63.86,2419.34,,1821.62,7.011,Low
Rajasthan,Udaipur,Small,1741.05,70.82,73.14,2781.29,8.56,1847.42,8.472,Medium
Karnataka,Bengaluru,Medium,2863.04,88.5,31.54,,6.86,2180.06,12.549,Medium
Tamil Nadu,Krishnagiri,Large,5807.92,77.61,69.05,2299.22,6.64,2422.87,21.646,Low
Andhra Pradesh,Kadapa,Medium,2540.9,88.41,60.54,1131.68,5.13,2133.89,14.99,Medium
Rajasthan,Jodhpur,Medium,2790.47,73.44,81.85,1708.17,6.4,2014.08,15.205,Medium
Rajasthan,Jodhpur,Small,1235.91,71.48,41.46,2178.87,4.75,2014.46,5.648,Low
Andhra Pradesh,Guntur,Large,4450.05,73.54,72.91,1873.53,7.98,2172.36,16.727,High
Tamil Nadu,Chennai,Small,1790.62,71.7,78.93,2162.16,8.24,2731.4,14.965,Medium
Rajasthan,Jodhpur,Large,4959.19,69.4,75.24,2405.16,6.31,2156.63,18.761,High
Karnataka,Mysuru,Large,5241.99,83.26,64.03,1486.47,7.45,1949.35,18.572,High
Andhra Pradesh,Guntur,Large,4677.15,80.12,52.42,2171.56,7.42,1902.56,14.432,Medium
Andhra Pradesh,Kadapa,Small,1444.01,73.92,59.73,2388.85,9.24,1738.05,7.605,Low
Rajasthan,Jodhpur,Medium,3199.19,88.83,30.59,2753.16,9.83,1779.59,10.099,Medium
Telangana,Karimnagar,Small,1657.09,83.69,56.58,2434.15,7.82,1586.83,6.792,Low
Karnataka,Ramanagara,Small,1471.6,66.45,27.18,1188.58,7.96,2261.28,9.843,Medium
Telangana,Nizamabad,Small,1351.95,73.26,81.29,1247.42,7.84,1844.52,8.34,Medium
Tamil Nadu,Chennai,Large,5374.2,86.81,56.61,2214.08,9.52,2409.07,20.194,High
Telangana,Karimnagar,Large,4159.03,50.83,60.72,2562.37,6.23,1587.03,9.403,Medium
Gujarat,Vadodara,Small,1333.55,63.59,70.45,1710.75,8.26,1986.78,6.052,Low
Tamil Nadu,Krishnagiri,Medium,3318.74,68.74,62.25,1503.2,0.5,2634.79,20.966,High
Andhra Pradesh,Nellore,Large,4736.1,71.48,54.66,2120.04,1.17,2324.32,18.487,High
Tamil Nadu,Krishnagiri,Medium,3316.24,90.03,57.97,1596.17,6.85,2237.59,18.94,High
Karnataka,Ramanagara,Small,1906.6,61.49,50.71,1566.22,10.61,2151.6,10.405,Low
Rajasthan,Makrana,Medium,2597.4,63.39,69.06,1728.87,4.76,2042.37,15.583,Medium
Telangana,Warangal,Medium,2022.26,77.36,48.88,1375.93,5.5,1625.07,8.993,Medium
Telangana,Nizamabad,Medium,1918.84,73.8,51.37,2093.07,5.42,1917.87,9.596,Medium
Telangana,Khammam,Medium,2321.49,90.32,68.17,1655.59,2.8,2068.49,14.043,Medium
Gujarat,Bhavnagar,Medium,1937.91,80.12,55.14,2505.28,4.17,1507.08,9.249,Medium
Telangana,Khammam,Small,1778.2,98.0,35.34,2772.63,9.89,1308.02,1.5,Low
Gujarat,Bhavnagar,Small,1628.08,64.93,48.81,1579.56,12.42,1640.45,1.5,Low
Telangana,Nizamabad,Small,1178.58,56.89,47.47,1516.43,7.22,1669.25,5.342,Low
Andhra Pradesh,Guntur,Medium,2867.18,90.19,62.44,1958.0,4.31,2168.0,17.95,High
Gujarat,Surat,Small,1151.29,98.0,49.55,1641.41,11.94,1904.33,7.483,Low
Tamil Nadu,Madurai,Large,5514.21,72.34,44.0,1439.6,7.27,2416.51,17.49,High
Telangana,Karimnagar,Medium,2410.63,68.6,68.88,2326.66,5.93,1984.87,10.068,Medium
Telangana,Nizamabad,Medium,3036.31,72.63,54.16,1617.05,7.2,1654.02,10.936,Medium
Andhra Pradesh,Kurnool,Large,5045.88,72.44,57.38,,4.03,1966.46,19.263,High
Telangana,Karimnagar,Large,4190.6,60.71,77.13,1818.47,5.76,2085.85,8.781,Medium
Andhra Pradesh,Ongole,Large,4467.63,84.9,53.18,1614.57,7.79,1819.71,17.274,High
Rajasthan,Udaipur,Medium,3062.06,73.73,83.08,2838.67,4.79,2443.28,15.921,Medium
Tamil Nadu,Salem,Small,1203.1,55.18,84.58,1559.32,6.55,2518.84,14.382,Medium
Rajasthan,Udaipur,Large,5282.27,75.22,74.46,2442.35,5.69,2195.99,14.866,Medium
Tamil Nadu,Chennai,Large,5533.35,66.26,52.66,1379.78,1.36,2697.16,20.539,High
Telangana,Hyderabad,Large,3891.58,84.17,70.25,1771.16,8.52,1581.39,14.898,Medium
Karnataka,Mysuru,Medium,2989.16,73.86,52.86,1028.32,4.48,2074.23,16.802,High
Andhra Pradesh,Guntur,Medium,2272.24,74.89,47.41,1662.49,3.49,2520.54,9.8,Medium
Andhra Pradesh,Kadapa,Small,1614.71,81.49,66.09,2053.39,8.97,1629.21,11.143,Medium
Tamil Nadu,Dharmapuri,Medium,2988.47,85.99,55.46,2081.08,9.51,2597.54,18.002,High
Rajasthan,Kishangarh,Small,1254.34,75.9,20.27,2987.05,7.71,1717.73,7.939,Low
Andhra Pradesh,Kurnool,Small,1431.2,77.87,70.87,2210.37,7.55,1787.54,10.295,Medium
Tamil Nadu,Chennai,Medium,3311.85,96.62,78.45,1368.72,0.5,2621.72,23.599,High
Andhra Pradesh,Kurnool,Medium,2895.9,90.85,57.75,1236.99,9.48,1573.5,17.212,High
Tamil Nadu,Dharmapuri,Small,1430.45,77.66,59.23,778.49,4.65,2246.25,13.29,Medium
Tamil Nadu,Salem,Large,5387.44,85.01,77.62,1771.01,0.5,2946.49,26.758,High
Gujarat,Rajkot,Large,3867.5,72.34,57.75,1485.21,7.55,1985.25,12.944,Medium
Andhra Pradesh,Nellore,Medium,2711.72,65.88,92.0,1718.84,1.44,2091.47,18.925,High
Telangana,Hyderabad,Medium,2534.76,72.78,49.06,2249.33,2.16,1876.93,10.068,Medium
Tamil Nadu,Dharmapuri,Large,5018.29,74.11,66.61,2013.6,2.86,2713.48,21.918,High
Tamil Nadu,Chennai,Small,1839.13,98.0,39.83,1307.53,8.45,2437.0,19.628,High
Rajasthan,Makrana,Medium,2178.19,79.88,68.75,,9.65,2465.07,17.553,High
Andhra Pradesh,Nellore,Small,1538.88,80.5,61.48,2311.35,3.89,2020.88,11.843,Medium
Andhra Pradesh,Ongole,Small,1867.2,88.4,65.05,2114.17,8.86,1949.44,10.179,Medium
Telangana,Karimnagar,Medium,2283.15,70.83,38.55,1296.65,6.18,1411.53,9.503,Medium
Telangana,Karimnagar,Medium,2733.1,68.53,63.84,2551.71,4.83,1731.89,12.54,Medium
Tamil Nadu,Salem,Small,1767.92,80.1,63.55,1370.56,5.17,2345.87,14.744,Medium
Rajasthan,Jodhpur,Small,1028.4,78.29,30.15,2650.46,,1774.4,4.353,Low
Rajasthan,Jodhpur,Medium,2870.69,93.99,60.9,2657.35,5.82,2228.76,17.552,High
Tamil Nadu,Dharmapuri,Medium,3302.81,61.94,44.77,1601.68,3.45,2931.44,17.593,High
Andhra Pradesh,Guntur,Medium,3482.13,67.92,61.06,2326.11,11.56,1683.37,11.047,Medium
Andhra Pradesh,Kurnool,Small,954.81,75.8,62.5,1336.53,8.14,1887.23,9.208,Medium
Rajasthan,Jodhpur,Medium,3007.55,77.18,55.63,1500.38,3.03,2242.88,16.631,High
Karnataka,Bengaluru,Small,1817.46,82.75,35.61,1861.21,12.94,2374.6,10.35,Medium
Tamil Nadu,Krishnagiri,Small,2076.23,75.28,38.64,1057.24,9.07,2205.2,13.048,Medium
Rajasthan,Makrana,Medium,2964.23,88.92,65.03,1658.02,4.27,2167.31,17.773,High
Karnataka,Chitradurga,Medium,2736.25,66.25,60.89,1365.56,10.16,2228.25,12.101,Medium
Telangana,Hyderabad,Small,917.84,92.11,46.28,1805.07,1.94,2110.02,10.39,Medium
Tamil Nadu,Salem,Small,1885.69,59.55,43.67,1656.12,10.95,2525.58,12.798,Medium
Gujarat,Vadodara,Medium,2145.93,51.98,53.34,2270.32,6.01,1568.98,6.738,Low
Andhra Pradesh,Guntur,Small,1666.03,89.33,66.5,2206.79,6.18,1837.27,12.332,Medium
Andhra Pradesh,Kadapa,Small,1248.87,57.64,53.63,2442.46,5.84,2002.97,5.371,Low
Karnataka,Mysuru,Medium,2975.65,69.43,62.9,2238.23,3.66,2690.82,14.752,Medium
Karnataka,Chitradurga,Small,1124.46,67.86,49.97,2691.24,7.01,1807.17,8.328,Medium
Gujarat,Ahmedabad,Small,1034.9,82.29,47.8,2083.72,6.67,1552.81,3.845,Low
Tamil Nadu,Chennai,Large,5756.0,91.2,92.0,2587.56,2.08,2799.43,28.0,High
Karnataka,Bengaluru,Medium,2848.41,62.32,68.8,1297.57,4.83,1859.5,18.508,High
Rajasthan,Udaipur,Medium,2784.05,56.77,67.87,2787.26,0.5,2231.94,12.016,Medium
Tamil Nadu,Dharmapuri,Medium,2959.32,98.0,47.19,1073.06,2.82,2526.62,19.038,High
Rajasthan,Kishangarh,Medium,2585.87,69.93,77.05,2157.31,3.69,2202.83,16.893,High
Andhra Pradesh,Kadapa,Large,4483.18,62.18,55.14,1917.01,0.5,1766.96,15.665,Medium
Tamil Nadu,Krishnagiri,Medium,3159.82,64.84,57.63,1488.77,6.57,2458.31,16.188,High
Karnataka,Chitradurga,Small,1944.54,65.78,50.32,1899.48,9.89,2221.94,10.617,Medium
Andhra Pradesh,Kadapa,Medium,2688.36,76.47,71.41,1751.44,11.59,1836.5,15.094,Medium
Tamil Nadu,Dharmapuri,Medium,2384.94,92.57,50.23,1851.1,7.7,2452.09,14.017,Medium
Gujarat,Ahmedabad,Medium,2425.97,96.55,52.67,1900.22,2.61,1339.22,16.126,High
Karnataka,Bengaluru,Medium,2799.52,62.39,65.86,,6.19,2356.61,14.528,Medium
Rajasthan,Kishangarh,Large,5031.37,71.91,51.46,2067.56,6.8,2342.85,16.356,High
Tamil Nadu,Chennai,Medium,3358.72,75.14,58.37,1823.57,5.93,2664.21,17.584,High
Rajasthan,Jaipur,Small,1867.31,68.13,58.5,2131.78,4.84,2109.19,10.496,Medium
Telangana,Khammam,Small,1696.42,89.6,48.53,1256.97,12.29,1970.2,12.979,Medium
Tamil Nadu,Madurai,Medium,3237.45,98.0,45.93,1539.96,7.1,2284.77,18.765,Medium
Tamil Nadu,Salem,Small,1503.93,74.21,50.54,2268.88,10.78,2551.71,12.818,Medium
Tamil Nadu,Krishnagiri,Small,1975.08,82.85,58.88,1000.73,10.55,2190.06,16.754,High
Telangana,Karimnagar,Small,1499.78,69.93,46.03,1760.93,10.63,1722.04,5.859,Low
Tamil Nadu,Krishnagiri,Small,1704.04,76.23,60.48,1341.75,8.83,2741.82,13.336,Medium
Tamil Nadu,Chennai,Large,5609.52,62.67,71.23,,7.48,2570.78,21.733,High
Tamil Nadu,Chennai,Small,1674.07,61.11,65.44,1033.47,7.69,2617.51,12.825,Medium
Tamil Nadu,Madurai,Small,2020.18,52.19,68.53,2010.03,7.15,2567.84,13.366,Medium
Karnataka,Bengaluru,Small,2040.08,82.56,61.72,1287.46,6.91,2181.27,13.207,Medium
Telangana,Khammam,Medium,3069.54,87.72,58.0,2333.85,2.51,2242.02,13.908,Medium
Tamil Nadu,Madurai,Small,1601.07,88.13,69.11,1612.01,9.67,2290.63,14.838,Medium
Karnataka,Hassan,Medium,3331.44,67.96,62.05,1898.58,4.13,2066.06,13.053,Medium
Tamil Nadu,Krishnagiri,Small,1979.73,73.6,58.06,2194.74,4.84,2484.29,12.639,Medium
Andhra Pradesh,Nellore,Medium,2810.83,75.15,20.0,1028.32,7.31,2031.56,9.937,Medium
Karnataka,Ramanagara,Large,5270.92,69.05,54.48,1026.66,5.92,1810.18,15.211,Medium
Karnataka,Hassan,Small,1833.67,87.08,65.5,2152.06,7.03,1999.93,14.541,Medium
Karnataka,Chitradurga,Medium,2407.19,85.73,75.83,2394.21,8.27,2349.06,17.13,High
Rajasthan,Jodhpur,Medium,2903.82,61.17,66.21,2625.0,8.74,2250.65,14.263,Medium
Gujarat,Rajkot,Medium,2011.67,67.2,61.98,1234.0,2.71,1984.73,9.173,Medium
Tamil Nadu,Chennai,Medium,3045.39,57.63,68.56,1468.73,5.45,2526.87,15.592,Medium
Telangana,Karimnagar,Medium,1884.36,72.1,55.94,1917.75,,1850.11,6.425,Low
Andhra Pradesh,Nellore,Medium,2562.59,75.32,44.04,2037.51,5.66,1762.32,11.612,Medium
Tamil Nadu,Krishnagiri,Medium,3139.61,75.11,66.9,1093.07,4.82,2482.98,21.429,High
Karnataka,Ramanagara,Small,1810.05,57.37,35.46,2444.82,6.77,2409.72,10.925,Medium
Rajasthan,Jodhpur,Small,1718.74,59.97,57.22,2127.23,9.64,2376.75,12.439,Medium
Rajasthan,Udaipur,Medium,2939.82,67.68,84.5,1846.58,,2684.27,17.285,High
Karnataka,Chitradurga,Large,4623.6,92.0,66.17,1319.12,4.18,2279.15,22.767,High
Tamil Nadu,Madurai,Large,4872.77,68.27,66.98,1016.89,7.76,2284.78,22.623,High
Karnataka,Ramanagara,Large,5201.14,84.38,76.16,1530.3,,2314.01,22.168,High
Telangana,Khammam,Medium,2512.7,66.64,51.86,1539.59,4.49,1807.22,10.959,Medium
Telangana,Karimnagar,Medium,2183.19,65.82,78.93,2617.77,5.49,2047.56,12.143,Medium
Rajasthan,Udaipur,Medium,2694.7,82.18,79.52,2998.46,7.56,2584.43,18.414,High
Gujarat,Bhavnagar,Medium,2345.02,57.67,61.43,2102.13,4.2,1515.52,7.377,Low
Rajasthan,Udaipur,Medium,2582.0,40.89,26.18,1749.01,7.33,1716.73,8.536,Medium
Karnataka,Ramanagara,Small,1499.89,58.16,47.75,1471.9,6.83,2354.81,11.102,Medium
Telangana,Khammam,Small,1676.4,76.25,55.05,1074.41,8.69,1567.24,8.222,Medium
Andhra Pradesh,Nellore,Medium,2760.92,64.74,58.12,1330.5,8.13,1911.69,10.215,Medium
Telangana,Karimnagar,Medium,2220.96,58.99,72.06,2507.91,7.72,2232.54,6.609,Low
Karnataka,Hassan,Small,955.24,79.2,62.71,1580.3,6.68,2414.35,16.125,High
Telangana,Karimnagar,Small,1325.87,81.4,52.98,2436.05,8.38,1802.43,8.525,Medium
Karnataka,Ramanagara,Large,5188.22,88.48,64.74,2398.7,3.22,2528.19,23.942,High
Gujarat,Surat,Medium,2679.29,82.42,35.54,1304.11,9.16,1141.71,5.301,Low
Tamil Nadu,Krishnagiri,Medium,2483.1,57.46,70.81,951.42,2.75,3002.47,14.985,Medium
Rajasthan,Jodhpur,Medium,3100.19,93.4,54.14,2061.05,7.96,1700.89,20.679,High
Tamil Nadu,Salem,Medium,3150.99,59.83,72.31,1504.14,3.58,2563.95,16.999,High
Rajasthan,Udaipur,Small,1159.39,60.65,57.44,1917.01,10.84,1952.46,6.295,Low
Telangana,Khammam,Medium,2760.73,73.27,51.73,1444.16,5.9,1773.61,9.51,Medium
Tamil Nadu,Madurai,Medium,2913.54,78.26,58.99,1114.75,5.05,2282.79,21.953,High
Telangana,Nizamabad,Small,643.76,89.47,55.15,2333.95,6.92,1608.92,7.55,Low
Tamil Nadu,Dharmapuri,Small,1443.43,70.36,64.33,1184.49,11.22,2272.1,11.966,Medium
Rajasthan,Kishangarh,Small,1563.2,79.45,52.01,1584.29,5.23,2706.86,17.236,High
Andhra Pradesh,Kurnool,Medium,2479.17,68.65,49.73,2244.41,5.63,1800.75,10.855,Medium
Rajasthan,Kishangarh,Small,1608.64,91.32,51.89,2178.63,8.62,2098.72,12.479,Medium
Andhra Pradesh,Guntur,Medium,2768.68,77.23,50.34,2031.89,6.59,2017.54,12.36,Medium
Andhra Pradesh,Guntur,Medium,2391.15,88.45,45.41,2344.98,5.03,1839.24,11.977,Medium
Rajasthan,Makrana,Large,4781.21,65.11,60.92,1815.4,7.98,1863.92,14.68,Medium
Tamil Nadu,Madurai,Medium,3033.57,65.88,67.09,705.13,3.32,2823.43,21.84,High
Tamil Nadu,Chennai,Small,1280.67,73.66,43.72,973.01,5.1,2281.04,12.959,Medium
Andhra Pradesh,Kurnool,Medium,2636.39,92.03,77.59,1034.48,4.72,1886.09,16.84,High
Andhra Pradesh,Guntur,Medium,2568.41,81.51,91.11,,5.36,1884.07,15.359,Medium
Andhra Pradesh,Guntur,Small,1620.45,93.88,44.37,2070.89,9.32,1790.61,11.374,Medium
Karnataka,Hassan,Medium,2689.53,92.59,47.95,2205.91,4.12,2559.05,17.217,High
Karnataka,Mysuru,Large,4590.57,88.48,58.57,1883.85,6.57,2156.17,21.301,High
Telangana,Hyderabad,Small,1277.01,83.45,68.37,2113.2,4.1,1543.41,13.033,Medium
Rajasthan,Jodhpur,Medium,2240.86,60.65,58.64,2262.31,,2075.16,10.444,Medium
Rajasthan,Kishangarh,Large,4416.11,53.39,74.52,1619.15,2.9,2700.24,20.444,High
Andhra Pradesh,Ongole,Medium,2215.02,74.75,61.49,,6.97,2070.58,14.896,Medium
Telangana,Hyderabad,Medium,2613.26,86.89,57.85,2629.33,5.6,1641.39,11.652,Medium
Gujarat,Rajkot,Small,1560.44,40.51,92.0,940.18,7.46,1619.86,8.356,Medium
Tamil Nadu,Madurai,Small,2429.41,61.82,47.9,1954.51,,2745.45,12.118,Medium
Rajasthan,Jaipur,Medium,2684.82,57.75,28.82,2396.76,8.2,1732.09,9.313,Medium
Tamil Nadu,Chennai,Medium,2824.29,72.19,59.82,1011.28,,2120.71,15.947,Medium
Rajasthan,Udaipur,Large,4895.08,84.2,52.52,2093.25,4.57,2075.99,20.461,High
Gujarat,Ahmedabad,Small,1134.04,86.85,65.11,1943.81,4.94,1687.13,8.899,Medium
Rajasthan,Udaipur,Medium,2604.52,55.94,57.0,1855.04,10.0,2264.53,12.725,Medium
Rajasthan,Jodhpur,Small,1728.3,77.28,65.9,2778.75,7.33,2410.77,10.627,Medium
Telangana,Hyderabad,Small,1454.68,53.08,28.71,1794.36,7.54,1508.05,4.3,Low
Telangana,Khammam,Medium,2322.7,86.77,63.01,2131.12,5.46,1506.64,7.878,High
Andhra Pradesh,Ongole,Small,1486.86,71.88,73.79,1874.34,11.79,2045.66,10.312,Medium
Rajasthan,Udaipur,Small,1567.38,59.07,51.28,2450.69,4.45,2120.2,6.683,Low
Telangana,Khammam,Small,1176.61,70.47,45.52,1441.89,11.31,2246.75,6.312,Low
Tamil Nadu,Krishnagiri,Small,1755.86,62.84,47.56,850.73,11.93,2098.13,8.481,Medium
Gujarat,Ahmedabad,Large,4021.66,81.16,56.38,1169.52,,1984.4,14.803,Medium
Rajasthan,Jodhpur,Medium,3105.72,85.52,70.74,1388.89,0.5,2709.13,22.162,High
Tamil Nadu,Chennai,Small,1853.01,88.51,39.15,2288.64,7.31,1981.91,10.475,Medium
Tamil Nadu,Salem,Large,5466.01,77.34,88.24,2218.57,3.99,2639.26,24.106,High
Andhra Pradesh,Kurnool,Medium,2144.93,94.83,44.89,2389.13,1.78,2033.67,8.002,Medium
Andhra Pradesh,Guntur,Large,4537.86,78.99,47.27,2049.26,2.12,1917.51,19.052,High
Andhra Pradesh,Ongole,Small,1332.54,91.25,53.92,1555.12,9.99,1922.53,14.716,Medium
Karnataka,Hassan,Medium,2360.19,66.32,42.19,2266.5,6.91,2175.53,13.762,Medium
Rajasthan,Jodhpur,Large,4723.6,73.74,46.02,1855.51,1.47,2247.9,18.306,High
Andhra Pradesh,Nellore,Small,1728.84,82.46,66.5,1688.93,9.66,1970.05,13.089,Medium
Karnataka,Mysuru,Large,5271.58,84.79,71.53,1968.24,2.15,2535.91,24.033,High
Gujarat,Ahmedabad,Large,3822.88,70.5,57.39,1795.81,2.66,1674.01,15.902,Medium
Andhra Pradesh,Kurnool,Large,4572.79,92.73,74.38,2145.84,2.98,2348.95,20.832,High
Karnataka,Hassan,Small,1429.4,63.59,35.89,2768.91,7.79,2189.23,8.579,Medium
Tamil Nadu,Salem,Small,1476.86,80.93,47.1,1737.89,5.61,2538.1,13.199,Medium
Tamil Nadu,Madurai,Small,2007.77,79.73,57.97,1077.47,7.06,2385.2,12.166,Medium
Tamil Nadu,Salem,Large,4680.47,88.54,42.49,1781.63,5.21,1941.94,23.361,Low
Tamil Nadu,Madurai,Small,1936.21,88.06,28.61,1675.13,10.43,2395.83,14.763,Medium
Rajasthan,Kishangarh,Medium,2421.38,71.25,53.46,1655.43,8.09,2326.78,14.319,Medium
Karnataka,Bengaluru,Medium,3307.64,80.91,61.17,1654.32,1.09,2178.04,17.783,High
Gujarat,Surat,Small,939.93,77.8,48.81,1729.73,11.86,1333.76,3.56,Low
Tamil Nadu,Madurai,Small,1993.03,95.35,44.31,2002.27,7.11,2198.66,15.055,Medium
Andhra Pradesh,Kurnool,Medium,2479.07,75.99,48.08,2209.96,6.55,1310.03,13.972,Medium
Tamil Nadu,Madurai,Large,5640.65,98.0,64.89,1828.95,5.0,2446.41,24.599,High
Tamil Nadu,Dharmapuri,Small,1624.77,73.44,64.17,959.79,7.61,2575.37,14.298,Medium
Karnataka,Chitradurga,Large,5413.77,64.83,84.87,1325.44,7.52,2278.94,19.069,High
Karnataka,Hassan,Medium,2747.62,65.43,52.75,1439.72,6.27,2076.1,11.036,Medium
Tamil Nadu,Salem,Medium,3012.97,88.54,30.78,1903.1,3.15,2535.63,15.292,Medium
